questionType,stem,answer,optionA,optionB,optionC,optionD,analysis,knowledgeCode,sourceType,usageType,difficultyExpected,standardTimeSeconds
SINGLE,"这段文字意在强调什么？数字化转型不是简单地引入信息系统，而是对业务流程、组织结构和价值创造方式的系统性重构。（验收题1）",A,"数字化转型是系统性重构","数字化转型就是买软件","数字化转型与组织无关","数字化转型仅指技术升级","文段首句即主旨：数字化是对流程、结构、价值创造的系统重构，故选A。",VERBAL,IMPORTED,TRAINING,55,60
SINGLE,"依次填入下列横线处的词语，最恰当的一组是什么？传统文化需要在守正中创新，才能____出新的时代活力。（验收题2）",B,"迸发","激发","焕发","勃发","焕发活力为固定搭配，且强调由内而外更新，故选B。",VERBAL,IMPORTED,TRAINING,50,60
SINGLE,"对这段话理解正确的是哪一项？节俭并不等于吝啬，前者是对资源的合理规划，后者则是对合理消费的过度压抑。（验收题3）",C,"节俭与吝啬是同义词","吝啬优于节俭","节俭是合理规划资源","节俭就是过度压抑","文段明确节俭是对资源的合理规划，故选C。",VERBAL,IMPORTED,TRAINING,48,60
SINGLE,"这段文字主要说明了什么？睡眠不足不仅损害记忆力，还会削弱免疫系统的应答能力，长期熬夜对健康的伤害是全方位的。（验收题4）",A,"熬夜危害是全方位的","熬夜只影响记忆力","免疫力与睡眠无关","记忆力可以恢复","文段递进结构落脚于全方位伤害，故选A。",VERBAL,IMPORTED,TRAINING,52,60
SINGLE,"下列句子中没有语病的是哪一项？（验收题5）",D,"通过这次培训，使我提高了认识","能否勤奋学习，是取得好成绩的关键","他那崇高的品质经常浮现在我的脑海中","我们要养成的节约用水的好习惯","A缺主语、B一面对两面、C搭配不当，D无语病，故选D。",VERBAL,IMPORTED,TRAINING,60,60
SINGLE,"这段文字的支持的观点是什么？读经典并非复古，而是与历史上最优秀的头脑对话，从中获得面对当下的思想资源。（验收题6）",B,"读经典就是复古","读经典能为当下提供思想资源","经典已经过时","只有读经典才有思想","文段强调经典对当下的价值，故选B。",VERBAL,IMPORTED,TRAINING,54,60
SINGLE,"作者对网络流行语的态度最可能是怎样的？网络流行语鲜活生动，但若任其泛化滥用，也会钝化语言的表达精度。（验收题7）",C,"全面肯定","全面否定","辩证看待","漠不关心","文段既肯定其鲜活又指出滥用风险，属辩证态度，故选C。",VERBAL,IMPORTED,TRAINING,56,60
SINGLE,"这段文字接下来最可能讨论什么？当前基层治理面临人才短缺、资源分散等瓶颈，数字化平台的建设被寄予厚望。（验收题8）",A,"数字化平台如何助力基层治理","基层的历史沿革","国际基层治理比较","行政区划的变迁","文段尾句引出数字化平台，下文应展开其作用，故选A。",VERBAL,IMPORTED,TRAINING,58,60
SINGLE,"概括这段文字最准确的是哪一项？博物馆文创的走红，本质是传统文化以当代生活方式为载体实现的创造性转化。（验收题9）",B,"文创产品价格便宜","文创走红源于文化的创造性转化","年轻人喜欢玩具","博物馆门票收入增加","文段点明本质是创造性转化，故选B。",VERBAL,IMPORTED,TRAINING,53,60
SINGLE,"这段文字中加粗词语的含义理解正确的是哪一项？他退休后并不清闲，反而更忙了，这种忙是自讨的苦吃，也是心甘情愿的享受。（验收题10）",D,"后悔","无奈","被迫","乐在其中","心甘情愿的享受表明其乐在其中，故选D。",VERBAL,IMPORTED,TRAINING,50,60
SINGLE,"这道题缺少答案字段用于验证异常分流流程。（验收异常题1）",A,"选项一","选项二","选项三","选项四",正常解析内容,VERBAL,IMPORTED,TRAINING,50,60
SINGLE,"这道题使用不存在的知识点编码用于验证异常分流流程。（验收异常题2）",B,"选项一","选项二","选项三","选项四",正常解析内容,NOT_EXIST_CODE,IMPORTED,TRAINING,50,60
