questionType,stem,answer,optionA,optionB,optionC,optionD,analysis,knowledgeCode,sourceType,usageType,difficultyExpected,standardTimeSeconds
SINGLE,"一段文字指出，公共服务数字化不能只追求线上办理数量，更要关注老年人等群体能否便利使用。该段文字意在强调什么？",B,"数字化只需增加线上事项","公共服务数字化应兼顾便利与公平","老年人不适合使用数字服务","线下服务应完全取消","文段通过转折强调数字化服务既要提高效率，也要兼顾不同群体的可及性，故选B。",VERBAL,MANUAL,TRAINING,52,60
SINGLE,"下列填入横线处最恰当的一项是：基层治理要善于把群众的急难愁盼____为具体的服务清单。",C,"淡化","回避","转化","替代","急难愁盼转化为服务清单，表达将诉求落实为行动，转化最符合语境，故选C。",VERBAL,MANUAL,TRAINING,50,60
SINGLE,"一段文字说，阅读不是为了堆积知识名词，而是为了形成判断复杂问题的能力。该段文字主要说明什么？",A,"阅读应重在提升思考判断能力","阅读只需要记住概念","复杂问题无法判断","知识名词毫无价值","文段把阅读的目的落在形成判断能力上，其他选项均扩大或曲解原意，故选A。",VERBAL,MANUAL,TRAINING,50,60
SINGLE,"下列句子中没有语病的一项是？",D,"通过完善监督机制，使责任落实更加有力","能否持续学习，是提升能力的关键","我们要防止不再发生类似问题","各部门已按要求完成了材料报送工作","A缺主语，B两面对一面，C否定失当，D表意完整且搭配恰当，故选D。",VERBAL,MANUAL,TRAINING,55,60
SINGLE,"一段文字先列举城市更新带来的公共空间改善，随后指出不能忽视原有社区生活网络。作者接下来最可能讨论什么？",B,"城市更新的历史沿革","如何在更新中保护社区生活网络","公共空间的建筑材料","其他城市的人口规模","尾句提出不能忽视社区生活网络，下文应围绕如何保护和延续该网络展开，故选B。",VERBAL,MANUAL,TRAINING,54,60
SINGLE,"下列词语使用恰当的一项是？",C,"对群众反映的问题必须置若罔闻","改革举措要循序渐进，不能一蹴而就","他对法规内容一无所知却侃侃而谈地沉默","会议气氛十分严肃，大家谈笑风生地讨论纪律","一蹴而就表示一下子成功，和改革需要逐步推进的语境匹配，故选C。",VERBAL,MANUAL,TRAINING,53,60
SINGLE,"一段文字指出，数据公开并不等于简单发布文件，还要保证格式可读取、接口可调用。其核心观点是？",D,"数据公开只要发布即可","数据接口应完全收费","文件格式无需统一","开放数据要具有实际可使用性","文段说明公开数据必须方便读取和调用，强调的是实际可使用性，故选D。",VERBAL,MANUAL,TRAINING,51,60
SINGLE,"依次填入下列横线处的词语，最恰当的一组是：制度执行既要有刚性约束，也要通过有效沟通____共识、____动力。",A,"凝聚，激发","消除，替换","回避，削弱","拖延，限制","沟通可以凝聚共识、激发动力，两个动宾搭配均自然准确，故选A。",VERBAL,MANUAL,TRAINING,52,60
SINGLE,"一段文字认为，乡村振兴不能照搬城市模式，应尊重村庄差异并保留地方特色。下列最能概括文意的是？",B,"乡村必须完全城市化","乡村发展应因地制宜","地方特色阻碍发展","城市模式没有任何价值","文段反对照搬并强调尊重差异，中心意思是因地制宜，故选B。",VERBAL,MANUAL,TRAINING,52,60
SINGLE,"下列句子排序最恰当的一项是：①制度优势需要通过执行才能转化为治理效能。②执行中还应及时发现问题并完善制度。③因此，制度建设不能止于文本。④只有形成闭环，治理效能才能持续提升。",C,"①④②③","②①③④","①③②④","③①④②","先提出制度需要执行，再得出不能止于文本，接着说明执行中的完善，最后总结形成闭环，故选C。",VERBAL,MANUAL,TRAINING,56,60
